student_id,section_id
621,3
918,12
235,7
276,11
243,2
377,13
161,4
517,1
641,12
724,15
812,7
572,14
808,15
880,12
944,5
539,4
751,9
854,4
842,12
266,12
146,13
401,9
356,10
687,8
121,12
579,8
140,16
395,11
135,6
992,3
457,16
725,15
951,2
574,13
767,11
351,2
881,13
916,3
657,13
405,3
199,15
895,7
829,8
757,9
698,5
788,4
789,14
598,3
821,1
663,14
155,1
425,11
966,4
319,14
454,5
340,8
218,16
696,8
388,13
589,6
731,1
405,10
487,2
770,8
670,13
653,6
37,11
525,5
472,4
321,7
622,16
778,6
594,4
847,8
223,4
393,11
276,14
126,11
762,12
700,1
294,1
273,7
936,6
116,3
993,6
99,6
218,4
412,15
94,10
559,9
220,8
302,13
238,9
738,13
668,10
942,10
663,7
946,15
152,5
661,5
915,7
91,12
578,1
642,5
328,3
576,2
103,15
470,12
113,9
123,11
545,12
590,11
645,12
824,5
910,1
344,8
923,1
345,2
623,14
69,4
583,3
6,15
297,5
750,16
511,10
618,5
436,5
904,15
77,14
864,16
38,13
2,16
917,8
681,10
885,1
18,8
975,2
315,8
330,12
784,5
448,14
660,2
795,13
742,9
727,9
639,11
615,2
273,16
33,4
947,16
983,4
698,3
511,15
902,2
96,5
637,16
838,3
735,15
682,11
618,10
942,15
624,11
484,4
250,12
625,12
910,11
927,4
704,8
274,2
879,6
971,7
305,10
886,3
524,3
192,11
330,16
685,1
954,3
368,7
837,13
919,6
32,2
773,13
771,7
30,4
742,7
686,2
482,8
934,5
262,6
255,15
12,5
998,12
812,9
561,14
282,14
399,11
19,12
840,1
338,14
69,2
354,16
834,1
502,14
815,4
171,13
366,1
274,6
712,8
585,15
102,1
19,13
40,13
659,11
8,2
341,12
847,13
687,8
957,16
433,16
969,9
257,9
795,3
46,12
783,13
494,6
839,14
200,15
85,5
836,5
889,3
814,16
971,7
337,2
951,7
626,6
364,3
793,5
285,8
404,3
368,9
52,10
299,9
160,10
568,7
736,4
709,12
99,11
730,11
602,8
18,3
102,6
968,16
996,8
904,10
207,11
756,10
582,14
311,4
397,10
8,13
987,14
404,1
59,1
912,11
124,6
40,1
382,10
617,14
265,9
896,3
490,1
563,8
646,9
633,8
812,10
423,3
821,16
348,2
541,15
259,12
876,14
912,2
990,5
814,15
144,14
297,5
883,6
555,6
233,3
797,10
345,14
905,11
171,14
782,13
946,3
259,12
40,14
568,14
826,14
384,7
569,11
551,2
801,8
448,10
987,1
478,7
105,12
5,4
301,14
311,5
432,14
969,1
413,11
285,2
472,14
119,5
582,5
592,12
587,14
783,13
749,5
205,5
965,10
188,10
543,1
19,9
984,11
863,1
196,7
110,16
905,16
293,12
215,15
558,9
515,9
259,12
79,6
111,15
242,14
962,14
720,2
963,5
875,15
779,8
729,7
736,5
217,12
113,11
286,2
132,12
448,2
272,14
688,16
98,10
562,14
295,5
382,14
570,2
823,8
752,12
782,16
937,7
522,16
423,2
810,7
568,3
593,8
318,1
701,16
717,4
470,15
666,6
317,12
43,8
642,14
340,4
179,1
581,1
621,16
412,1
791,11
168,16
866,15
5,7
908,2
723,1
720,3
562,1
798,16
466,2
206,5
475,11
671,10
326,11
974,9
566,12
37,13
539,16
347,7
102,14
957,15
944,8
776,3
201,8
476,3
305,5
76,9
375,9
917,13
262,1
183,15
575,6
419,4
692,5
984,10
584,4
337,11
966,14
123,6
325,9
715,6
119,14
147,10
740,13
509,1
806,7
3,5
477,16
899,7
24,10
930,11
624,7
753,10
611,14
406,2
496,3
264,7
542,10
393,3
34,13
949,9
584,11
52,9
49,8
887,12
730,3
469,9
962,8
891,3
984,13
780,13
347,8
118,4
294,4
81,9
467,16
512,1
821,6
780,4
108,13
360,16
25,9
910,14
859,2
807,6
234,2
421,12
224,8
875,7
611,1
477,2
939,14
385,2
974,13
530,9
501,4
898,6
442,9
103,14
72,8
439,5
465,3
396,6
491,1
69,7
391,14
409,13
668,1
330,1
109,15
164,8
714,11
798,3
316,9
457,6
67,9
398,15
881,4
194,6
829,3
340,13
789,10
346,4
828,13
631,4
660,12
289,11
197,4
997,6
917,4
698,8
152,9
717,14
586,11
856,14
583,12
850,2
866,9
479,15
925,1
556,2
764,6
109,9
852,1
29,3
320,8
378,10
187,10
191,12
938,13
698,12
729,13
15,8
113,3
627,13
152,13
970,11
955,4
987,9
387,9
829,6
231,4
594,7
88,1
25,9
416,6
890,13
313,12
941,12
711,12
831,7
365,4
190,14
373,10
734,1
517,12
520,6
92,8
91,9
658,7
1,9
874,9
942,12
366,14
61,4
895,1
776,12
627,10
90,11
402,7
194,12
883,5
326,1
831,2
73,5
153,14
274,9
294,3
38,1
60,5
744,11
200,11
110,7
642,14
633,13
248,12
344,1
361,3
458,2
485,14
383,1
374,8
266,3
275,12
595,16
193,2
695,13
974,5
343,4
768,2
13,11
720,7
350,9
732,8
804,16
742,10
486,11
220,8
568,16
692,10
788,15
732,13
156,8
541,11
661,5
89,1
616,13
305,1
613,14
58,16
415,14
581,9
231,14
232,2
860,3
594,6
245,9
796,4
201,14
384,12
220,5
196,8
674,7
31,15
971,14
349,15
253,16
46,12
386,8
890,1
875,8
840,7
925,5
857,7
851,5
337,14
445,5
914,10
632,14
957,9
324,13
66,3
241,14
517,16
834,13
658,10
151,11
220,5
708,10
558,4
43,13
24,7
846,3
487,5
786,7
195,3
377,6
334,5
355,8
903,2
99,2
608,9
569,8
964,4
747,7
186,16
123,3
203,14
267,9
643,10
877,8
270,3
146,1
718,8
493,11
457,12
44,6
494,5
91,11
286,5
517,16
38,16
390,12
753,5
206,15
788,12
421,1
595,4
59,9
679,5
849,3
492,8
33,11
989,12
835,13
507,12
773,2
527,7
853,2
112,8
840,9
461,4
998,11
418,12
897,11
54,13
545,3
267,3
695,8
900,1
774,6
888,1
968,16
161,7
89,11
187,4
346,3
418,8
479,1
916,11
676,6
390,3
192,4
575,6
568,8
674,9
393,16
448,10
524,3
350,10
975,4
49,15
564,7
108,7
767,1
401,14
960,11
393,6
413,2
225,4
443,13
554,8
543,3
75,10
580,13
392,6
198,3
348,7
454,12
820,5
429,14
744,5
646,9
724,1
255,1
328,6
709,7
816,10
575,1
151,5
855,15
599,12
718,15
666,8
350,7
365,16
528,14
171,12
194,7
875,5
241,5
484,4
823,16
625,6
847,7
22,4
944,16
512,8
146,2
305,10
397,14
915,6
778,1
52,10
609,15
10,16
694,4
397,4
600,14
287,4
297,13
252,10
865,10
540,4
85,14
507,6
761,14
296,9
292,4
110,9
843,7
976,8
499,13
960,14
211,12
39,3
670,9
908,11
470,8
590,12
681,7
945,1
889,8
39,2
67,13
192,8
438,11
917,13
976,7
895,1
649,1
256,9
732,6
758,3
466,7
452,13
677,13
695,14
385,4
412,13
485,1
296,13
911,10
739,4
693,2
965,8
624,8
212,2
656,16
850,1
632,9
43,14
735,10
223,13
64,12
839,14
249,11
666,2
398,14
465,5
235,5
453,13
240,4
733,2
182,9
860,10
548,7
332,4
295,5
335,13
709,4
104,11
756,16
387,2
468,7
289,5
982,6
388,9
87,11
107,15
57,7
656,9
325,11
340,9
720,3
943,12
314,4
18,9
503,7
940,12
820,6
745,7
18,12
624,5
465,16
810,4
876,8
275,14
956,5
242,5
326,9
106,10
27,10
955,7
779,9
932,11
725,8
269,2
67,2
51,2
915,10
995,11
337,12
666,3
861,14
245,5
616,7
638,1
945,7
8,7
503,13
326,14
844,15
821,15
185,8
588,4
190,5
182,9
366,6
646,16
437,13
291,16
377,5
615,5
875,10
231,11
29,13
864,9
766,16
342,13
817,13
244,4
784,13
701,12
299,16
850,12
562,14
43,15
861,15
618,16
887,13
243,6
629,12
742,6
957,15
705,5
666,8
988,12
929,15
541,9
561,7
540,12
958,12
895,16
366,11
259,4
947,11
687,2
230,12
628,10
561,9
463,11
864,8
447,4
851,9
241,15
934,12
378,13
876,15
478,1
682,1
97,7
144,10
695,11
967,6
3,13
764,11
690,15
272,8
251,8
721,15
59,11
211,3
65,16
305,5
631,6
481,16
734,15
289,10
